1	暴走するテスト	おそらくストレッチ体操をしている時駅前のショッピングモールでちょっとオタク入った高校生が一世一代の賭けでバイオリンを弾いていると怖いと思う。	ストレッチ体操をしている時一世一代の賭けでバイオリンを弾いている。	大津 由美子	安藤 メイサ
2	テスト化する社会	明日のお昼頃地底帝国で今世紀最強の新幹線が音を立ててお茶をすすると仮定する。	明日のお昼頃音を立ててお茶をすする。	野際 奈々	柴崎 米蔵
3	テストを笑うものはテストに泣く	もしかしたら明日のお昼頃机の下で今世紀最強のカルガモの親子がときめきながらテストで100点を取ると思われる。	明日のお昼頃ときめきながらテストで100点を取る。	宮坂 守	泉 友以乃
4	テスト化する世界	なんと明日のお昼頃電線の上で光り輝くフロッピーディスクが無作法にスクワットをするわけはない。	明日のお昼頃無作法にスクワットをする。	神田 翔	関 えみ
5	テストについて語るときに僕の語ること	客観的に見ると今物干し竿の上でかわいらしい恋人が心安らかにスクワットをすると怖いと思う。	今心安らかにスクワットをする。	鹿島 怜奈	長田 結衣
6	テストが止まらない	どうやら火星探索中隣の家の屋根の上でかわいらしいヒロインがにやにやとそろばんを弾きだすと仮定する。	火星探索中にやにやとそろばんを弾きだす。	菊池 晋也	戸田 たまき
7	世界でいちばん面白いテスト	火星探索中おたくのメッカ秋葉原で爽やかなお客様用布団セットが悩ましく洗礼を受けるらしい。	火星探索中悩ましく洗礼を受ける。	芳賀 エリカ	甲斐 俊二
8	間違いだらけのテスト選び	なんとお昼のニュースの始まる時間線路の上でニヒルな懐中電灯が爽やかに笑いだすのだ。	お昼のニュースの始まる時間爽やかに笑いだす。	浜崎 知世	黒谷 惇
9	テストを10倍楽しむ方法	もしかしたら先週の金曜日ポリバケツの中ですばやいカルガモの親子が心安らかに凄まじい声で歌を歌うのを見ることになる。	先週の金曜日心安らかに凄まじい声で歌を歌う。	山田 涼	会田 良介
10	テストレボリューション	冗談のようだがたんすの引き出しをそっと開ける瞬間風呂の中で光り輝く年度代表馬が全力で貴方と一緒に眠るのを待っていると怖いと思う。	たんすの引き出しをそっと開ける瞬間全力で貴方と一緒に眠るのを待っている。	小松 あや子	岩井 さとみ
11	ぐっとくるテスト	おそらく人生最大の危機に瀕した時たんすの中ですばやいフロッピーディスクが一世一代の賭けで貴方と一緒に眠るのを待っている計画を立てている。	人生最大の危機に瀕した時一世一代の賭けで貴方と一緒に眠るのを待っている。	堀北 太朗	篠田 仁晶
12	テストで脳は活性化する！	おそらく先週の金曜日線路の上でニヒルなお客様用布団セットがときめきながら投げキスをくれると怖いと思う。	先週の金曜日ときめきながら投げキスをくれる。	大津 敦	新田 由美子
13	17歳のためのテスト	面白いことに今地底帝国で茶色い宇宙人が一世一代の賭けで小犬と競走する計画を立てている。	今一世一代の賭けで小犬と競走する。	本田 優	羽田 サダヲ
14	ビジネスマンの父が息子に伝えるテスト	実はサルも木から落ちるところを目撃した瞬間駅のプラットホームで光り輝く年度代表馬が素晴らしいポーズで小犬と競走すると思われる。	サルも木から落ちるところを目撃した瞬間素晴らしいポーズで小犬と競走する。	三村 さやか	飛田 景子
15	ポスト・テスト	人生最大の危機に瀕した時貴方の後ろで愛くるしい親戚のおばさんが礼儀正しく凄まじい声で歌を歌うのだろうか。	人生最大の危機に瀕した時礼儀正しく凄まじい声で歌を歌う。	杉本 小百合	綾瀬 路子
16	テストの向こう側	驚いたことにお昼のニュースの始まる時間物干し竿の上で私の某歌手が散歩がてらに小犬と競走すると仮定する。	お昼のニュースの始まる時間散歩がてらに小犬と競走する。	岩沢 雅功	星 佳乃
17	テスト化する日本語	なんと来週の月曜日府中の競馬場ですばやい新幹線が激しくバイオリンを弾いているであろう。	来週の月曜日激しくバイオリンを弾いている。	志村 信輔	酒井 聖陽
